0,1588967981897
2197,101
2143,208
2167,88
81,82
2157,88
2084,88
2094,216
2157,88
2086,87
2164,148
2142,86
2094,147
2164,91
87,86
2158,101
2082,80
79,79
2082,89
2091,148
2162,88
2085,88
2124,243
2110,89
2091,170
2160,92
85,93
2156,96
2085,151
2112,173
2160,92
2085,89
2146,154
2154,89
2150,158
2161,132
2086,87
2089,160
2160,85
2083,88
2090,160
2159,85
2300,236
2160,97
2079,87
2091,153
2161,88
2081,140
2158,143
2087,83
2089,145
2156,84
2085,83
81,81
2096,84
2090,146
2154,83
2083,92
2158,145
2161,89
2099,151
2178,147
110,92
2160,171
2088,87
2090,151
2165,140
83,84
2155,87
2084,84
2089,156
2207,86
83,85
2139,100
2101,189
2162,88
2085,140
2169,185
2087,88
2102,153
2166,87
2134,85
2212,156
2154,106
2206,163
2091,90
2154,162
2167,524
2100,217
2159,98
2084,125
2159,152
2082,86
2091,152
2156,84
2081,84
2090,153
2158,92
2083,85
2084,185
2180,84
2091,154
2160,102
2081,85
2091,148
2151,85
2088,147
2149,87
2080,82
2088,147
2152,84
2094,86
2088,158
2154,83
2095,151
2151,85
2080,85
2083,147
2153,85
2083,84
2101,146
2152,83
2081,125
2157,166
2082,84
2090,144
2155,85
2082,82
2094,149
2169,89
2100,178
2156,86
2081,89
2089,161
2156,88
2082,89
2094,154
2152,88
2132,118
2157,156
2084,88
2087,158
2156,101
2083,90
2116,148
2150,89
2081,154
2216,100
2104,90
2090,154
2156,89
2081,89
2088,153
2157,86
2135,126
2169,127
2081,87
2088,157
2156,86
2090,91
2093,163
2165,77
2076,82
2080,138
2109,148
2087,114
2082,102
2080,80
2080,82
2080,76
2091,80
2080,79
2080,119
2119,88
2086,77
2130,78
2105,101
2074,68
2074,68
2073,92
2072,67
2074,68
2072,67
2078,69
2076,68
2073,71
2072,68
2074,84
2075,68
2075,68
2072,70
2074,72
2124,401
2078,88
2069,67
2070,66
2070,65
2071,64
2070,78
2070,64
2069,65
2070,65
2070,64
2072,66
2070,64
2071,79
2070,64
2069,65
2070,64
2071,65
2069,66
2070,77
2069,73
2069,66
2071,65
2070,65
2072,65
2072,64
2070,79
2072,64
2069,65
2069,64
2070,64
2071,105
2070,64
2070,77
2069,65
2070,65
2070,64
2069,64
2069,65
2069,75
2070,65
2070,67
2070,64
2069,65
2070,64
2070,64
2069,81
2070,64
2070,64
2070,65
2072,64
2068,64
2072,64
2079,64
2070,78
2069,58
2071,65
2071,63
2070,78
2071,64
2070,65
2071,65
2070,65
2070,64
2070,65
2069,64
2069,65
2071,65
2130,117
2077,105
2070,63
2069,65
2070,64
2069,64
2070,64
2069,65
2070,65
2070,67
2070,65
2069,65
2071,78
2070,65
2070,64
2071,63
2070,64
2070,65
2069,65
2071,64
2071,63
2069,65
2069,64
2071,63
2070,64
2069,66
2070,65
2070,64
2072,64
2071,64
2071,64
2080,66
2072,63
2069,65
2071,64
2070,65
2070,66
2071,65
2071,64
2072,65
2069,65
2069,65
2070,64
2071,64
2070,64
2070,64
2071,65
2071,78
2070,64
2070,64
2071,64
2070,64
2085,63
2071,65
2071,63
2070,65
2071,64
2070,64
2071,64
2070,78
2070,64
2071,64
2069,65
2071,58
2075,64
2081,79
2070,65
2072,66
2071,64
2071,139
2108,64
2071,64
2072,77
2071,64
2069,65
2070,65
2071,65
2071,64
2072,78
2071,64
2070,64
2070,64
2072,64
2071,65
2071,65
2071,65
2071,79
2070,64
2071,64
2070,63
2072,64
2071,64
2071,78
2071,64
2071,64
2070,66
2071,70
2071,59
2072,63
2071,65
2079,80
2078,65
2072,64
2071,90
2071,64
2071,64
2071,65
2072,68
2071,80
2071,64
2071,64
2071,64
2072,63
2072,64
2071,64
2072,80
2071,64
2071,65
2071,65
2072,65
2072,65
2073,64
2071,79
2071,64
2071,63
2071,64
2072,63
2072,64
2072,78
2071,64
2072,63
2071,64
2072,63
2072,63
2072,64
2071,79
2072,64
2072,64
2071,63
2071,64
2072,64
2071,64
2071,65
2071,64
2071,64
2072,64
2071,65
2073,66
2072,79
2071,65
2072,112
2072,63
2071,65
2072,64
2071,64
2073,78
2073,64
2070,64
2072,64
2072,65
2072,64
2072,66
2073,106
2072,78
2071,64
2072,63
2073,63
2072,64
2089,64
2072,63
2072,58
2071,64
2072,64
2073,64
2095,64
2072,65
2073,66
2073,65
2072,65
2072,64
2072,64
2079,79
2071,64
2071,58
2072,64
2072,64
2071,64
2072,79
2073,64
2072,64
2072,63
2072,63
2072,64
2071,64
2072,79
2072,65
2073,63
2072,64
2073,64
2072,82
2073,63
2079,64
2072,79
2072,64
2071,64
2071,64
2072,63
2071,64
2072,64
2071,94
2073,63
2072,86
2075,63
2072,63
2072,63
2073,63
2073,76
2073,79
2072,196
2093,64
2072,63
2073,64
2073,64
2073,79
2072,57
2072,64
2073,63
2072,63
2073,63
2081,76
2072,64
2072,65
2072,65
2073,63
2072,65
2071,64
2072,63
2071,79
2080,65
2073,66
2073,66
2076,67
2072,82
2073,87
2072,65
2074,66
2072,67
2077,67
2074,66
2094,65
2074,66
2073,67
2074,65
2073,66
2073,67
2076,71
2073,69
2075,66
