,dateTime,WattageS,rotaryVelocityS_Commanded
90,2020-03-10 19:48:44.638,1195.1216824818403,4584.0
91,2020-03-10 19:48:44.839,1240.9776702988893,4584.0
92,2020-03-10 19:48:45.040,1223.781674867496,4584.0
93,2020-03-10 19:48:45.241,1137.801697710529,4584.0
94,2020-03-10 19:48:45.442,1215.1836771517992,4584.0
95,2020-03-10 19:48:45.643,1097.677708370611,4584.0
96,2020-03-10 19:48:50.459,1028.8937266450375,4584.0
97,2020-03-10 19:48:50.660,1077.6157137006521,4584.0
98,2020-03-10 19:48:50.861,1218.0496763903648,4584.0
99,2020-03-10 19:48:51.062,1206.5856794361025,4584.0
100,2020-03-10 19:48:51.261,1134.9356984719634,4584.0
101,2020-03-10 19:48:51.462,1246.7096687760204,4584.0
102,2020-03-10 19:48:51.663,1261.0396649688482,4584.0
103,2020-03-10 19:48:51.864,1183.657685527578,4584.0
104,2020-03-10 19:48:52.065,1309.7616520244628,4584.0
105,2020-03-10 19:48:52.266,1223.781674867496,4584.0
106,2020-03-10 19:48:52.467,1063.2857175078243,4584.0
107,2020-03-10 19:48:52.668,1195.1216824818403,4584.0
108,2020-03-10 19:48:52.869,1180.7916862890124,4584.0
109,2020-03-10 19:48:53.069,1126.3377007562667,4584.0
110,2020-03-10 19:48:53.269,1197.9876817204058,4584.0
111,2020-03-10 19:48:53.470,1261.0396649688482,4584.0
112,2020-03-10 19:48:53.671,1200.8536809589714,4584.0
113,2020-03-10 19:48:53.872,1275.369661161676,4584.0
114,2020-03-10 19:48:54.073,1218.0496763903648,4584.0
115,2020-03-10 19:48:54.272,1089.0797106549144,4584.0
116,2020-03-10 19:48:54.473,1117.73970304057,4584.0
117,2020-03-10 19:48:54.674,1175.0596878118813,4584.0
118,2020-03-10 19:48:54.875,1117.73970304057,4584.0
119,2020-03-10 19:48:55.077,1226.6476741060615,4584.0
120,2020-03-10 19:48:55.277,1261.0396649688482,4584.0
121,2020-03-10 19:48:55.477,1160.7296916190535,4584.0
122,2020-03-10 19:48:55.677,1283.9676588773727,4584.0
123,2020-03-10 19:48:55.877,1089.0797106549144,4584.0
124,2020-03-10 19:48:56.078,1089.0797106549144,4584.0
125,2020-03-10 19:48:56.278,1143.53369618766,4584.0
126,2020-03-10 19:48:56.479,1218.0496763903648,4584.0
127,2020-03-10 19:48:56.680,1149.2656946647912,4584.0
128,2020-03-10 19:48:56.881,1252.4416672531515,4584.0
129,2020-03-10 19:48:57.082,1246.7096687760204,4584.0
130,2020-03-10 19:48:57.283,1123.4717015177011,4584.0
131,2020-03-10 19:48:57.483,1266.7716634459794,4584.0
132,2020-03-10 19:48:57.684,1246.7096687760204,4584.0
133,2020-03-10 19:48:57.885,1043.2237228378654,4584.0
134,2020-03-10 19:48:58.086,1132.0696992333978,4584.0
135,2020-03-10 19:48:58.286,1195.1216824818403,4584.0
136,2020-03-10 19:48:58.487,1220.9156756289303,4584.0
137,2020-03-10 19:48:58.688,1255.307666491717,4584.0
138,2020-03-10 19:48:58.889,1275.369661161676,4584.0
139,2020-03-10 19:48:59.090,1140.6676969490945,4584.0
140,2020-03-10 19:48:59.291,1220.9156756289303,4584.0
141,2020-03-10 19:48:59.492,1183.657685527578,4584.0
142,2020-03-10 19:48:59.693,1008.8317319750786,4584.0
143,2020-03-10 19:48:59.894,1215.1836771517992,4584.0
144,2020-03-10 19:49:00.095,1094.8117091320455,4584.0
145,2020-03-10 19:49:05.110,1008.8317319750786,4584.0
146,2020-03-10 19:49:05.310,1091.94570989348,4584.0
147,2020-03-10 19:49:05.511,1235.2456718217582,4584.0
148,2020-03-10 19:49:05.712,1197.9876817204058,4584.0
149,2020-03-10 19:49:05.913,1306.8956527858973,4584.0
150,2020-03-10 19:49:06.114,1235.2456718217582,4584.0
151,2020-03-10 19:49:06.315,1091.94570989348,4584.0
152,2020-03-10 19:49:06.515,1132.0696992333978,4584.0
153,2020-03-10 19:49:06.716,1197.9876817204058,4584.0
154,2020-03-10 19:49:06.916,1129.2036999948323,4584.0
155,2020-03-10 19:49:07.117,1180.7916862890124,4584.0
156,2020-03-10 19:49:07.318,1295.431655831635,4584.0
157,2020-03-10 19:49:07.519,1203.719680197537,4584.0
158,2020-03-10 19:49:07.730,1220.9156756289303,4584.0
159,2020-03-10 19:49:07.931,1269.637662684545,4584.0
160,2020-03-10 19:49:08.132,1071.883715223521,4584.0
161,2020-03-10 19:49:08.331,1054.6877197921276,4584.0
162,2020-03-10 19:49:08.532,1229.513673344627,4584.0
163,2020-03-10 19:49:08.733,1192.2556832432747,4584.0
164,2020-03-10 19:49:08.934,1109.1417053248733,4584.0
165,2020-03-10 19:49:09.134,1215.1836771517992,4584.0
166,2020-03-10 19:49:09.334,1286.8336581159383,4584.0
167,2020-03-10 19:49:09.535,1180.7916862890124,4584.0
168,2020-03-10 19:49:09.734,1309.7616520244628,4584.0
169,2020-03-10 19:49:09.935,1195.1216824818403,4584.0
170,2020-03-10 19:49:10.136,1051.821720553562,4584.0
171,2020-03-10 19:49:10.337,1160.7296916190535,4584.0
172,2020-03-10 19:49:10.537,1177.9256870504469,4584.0
173,2020-03-10 19:49:10.738,1120.6057022791356,4584.0
174,2020-03-10 19:49:10.939,1212.3176779132336,4584.0
175,2020-03-10 19:49:11.140,1249.575668014586,4584.0
176,2020-03-10 19:49:11.341,1172.1936885733157,4584.0
177,2020-03-10 19:49:11.542,1289.6996573545039,4584.0
178,2020-03-10 19:49:11.743,1243.8436695374548,4584.0
