2111,187,211
2103,193,182
2099,190,239
2098,189,175
2095,184,186
2096,181,179
2105,177,177
2108,179,193
2099,171,268
2095,179,192
2099,186,176
2102,185,175
2095,191,171
2094,199,254
2094,192,180
2096,190,175
2100,186,176
2139,166,176
2094,198,242
2143,180,182
2130,190,179
2092,265,175
2096,222,176
2092,520,209
2104,180,166
2093,158,175
2092,164,171
2104,177,163
2091,202,161
2094,165,179
2110,158,166
2090,161,174
2091,159,197
2091,158,171
2091,172,167
2095,174,162
2107,174,166
2096,165,162
2100,158,165
2090,166,180
2090,160,193
2096,173,163
2092,167,160
2091,169,172
2092,165,164
2093,166,169
2101,163,171
2093,175,161
2092,177,162
2089,170,165
2094,170,162
2101,161,175
2092,160,173
2093,168,167
2089,169,161
2125,184,250
2091,168,173
2107,162,165
2093,160,179
2093,168,171
2104,184,164
2093,191,155
2092,195,181
2105,467,411
2207,187,218
2143,191,168
2096,239,193
2151,175,186
2094,303,287
2263,511,304
2193,379,287
2232,182,179
2097,183,167
2106,230,186
2108,217,192
2095,303,335
2181,184,164
2152,183,172
2097,182,166
2151,183,174
2106,173,180
2100,206,190
2094,200,177
2100,527,209
2100,170,175
2099,172,165
2093,173,162
2095,175,163
2093,180,164
2094,170,166
2103,157,201
2093,157,184
2091,158,170
2089,162,173
2092,173,163
2093,172,165
2093,170,164
2094,170,160
2092,166,173
2103,161,172
2092,157,180
2093,159,173
2095,159,167
2094,169,162
2095,172,167
2098,246,164
2093,165,163
2092,167,165
2105,160,170
2093,160,172
2094,160,172
2091,162,174
2091,170,166
2092,173,167
2092,172,161
2094,169,159
2104,170,160
2130,178,172
2095,162,174
2094,159,182
2093,166,174
2092,169,160
2095,188,160
2100,172,164
2093,170,166
2104,183,186
2149,177,195
2101,169,192
2096,214,173
2094,196,175
2096,231,177
2098,184,171
2096,183,225
2109,170,173
2151,180,168
2097,189,168
2097,258,173
2095,189,168
2155,184,166
2099,168,191
2151,168,183
2097,183,164
2154,184,173
2098,185,172
2108,218,227
2097,178,169
2171,673,184
2105,163,181
2092,168,142
2087,216,174
2082,170,161
2087,168,166
2085,169,171
2105,157,155
2086,165,196
2086,166,177
2090,174,160
2088,167,169
2086,171,166
2087,162,162
2083,169,171
2093,162,167
2090,169,182
2087,158,173
2086,168,165
2086,173,170
2090,165,160
2086,175,167
2090,175,171
2097,158,178
2088,161,171
2085,166,174
2091,171,188
2088,161,160
2086,167,161
2087,174,233
2094,165,182
2090,162,176
2090,160,167
2088,171,164
2089,168,163
2093,177,162
2086,171,167
2088,173,164
2090,160,181
2098,157,180
2093,158,190
2095,192,173
2150,185,171
2090,185,166
2099,216,170
2093,174,186
2092,178,247
2095,184,168
2090,189,179
2094,185,168
2091,189,175
2099,192,171
2103,172,169
2095,179,165
2088,183,189
2145,183,172
2093,185,165
2089,230,172
2088,186,174
2106,172,227
2092,177,195
2090,176,196
2198,221,185
2090,162,179
2088,167,164
2091,169,164
2089,169,167
2091,165,164
2105,156,167
2087,157,170
2088,161,174
2088,172,157
2107,312,247
2108,343,189
2093,161,182
2090,170,171
2092,171,160
2089,176,161
2090,171,165
2096,161,175
2089,246,173
2092,174,161
2090,170,160
2092,171,166
2096,169,163
2089,159,167
2090,160,172
2091,161,169
2097,176,168
2095,174,163
2092,175,161
2092,173,161
2093,163,174
2088,161,170
2093,163,169
2091,169,167
2094,167,163
2094,170,160
2088,168,163
2102,180,175
2092,182,184
2125,176,185
2092,185,170
2094,188,177
2092,187,171
2150,184,169
2092,191,166
2100,204,170
2091,169,181
2095,171,234
2092,189,166
2091,188,169
2101,182,163
2144,182,168
2107,172,166
2092,200,184
2090,172,182
2092,165,231
2088,190,174
2090,191,169
2099,185,171
2140,491,185
2101,178,178
2090,160,179
2091,159,173
2090,167,172
2094,172,160
2095,163,156
2087,167,165
2100,174,163
2092,155,170
2099,161,172
2093,170,161
2091,173,159
2092,170,166
2091,169,175
2096,173,160
2100,161,173
2093,161,172
2091,189,178
2092,166,165
2092,169,163
2106,156,138
2092,159,172
2091,159,169
2090,169,162
2091,169,168
2099,168,167
2099,160,165
2092,161,173
2093,161,176
2093,161,178
2092,174,160
2092,174,161
2091,171,161
2090,167,166
2089,169,166
2090,161,180
2090,162,172
2093,165,172
2090,185,179
2092,187,179
2106,201,183
2096,198,174
2093,195,171
2094,168,193
2147,177,206
2095,169,203
2101,240,174
2097,198,169
2103,223,167
2099,194,170
2118,171,223
2094,178,200
2092,181,213
2095,186,172
2154,186,168
2093,183,174
2163,163,167
2092,170,194
2143,492,201
2100,169,178
2094,172,167
2120,187,169
2093,168,161
2099,163,173
2092,163,169
2092,163,173
2093,165,201
2092,170,163
2089,168,166
2092,169,138
2103,159,138
2092,160,174
2093,157,146
2093,165,171
2090,180,163
2093,187,160
2100,170,157
2094,172,167
2108,162,161
2092,160,176
2089,163,173
2093,164,119
2088,163,173
2100,166,164
2092,166,165
2101,161,175
2096,160,172
2096,162,183
2092,170,161
2093,172,166
2096,172,168
2093,174,162
2092,180,160
2098,166,179
2095,165,176
2094,163,180
2103,195,184
2149,187,177
2099,186,173
2092,209,167
2105,177,171
2095,177,243
2093,167,179
2094,186,141
2099,189,166
2095,180,174
2110,194,167
2118,172,181
2092,184,192
2094,178,188
2144,167,179
2092,180,168
2091,219,162
2092,183,167
2141,182,170
2104,170,191
2096,204,189
2102,180,184
2091,501,221
2098,173,179
2093,170,179
2097,168,165
2093,160,159
2091,167,171
2101,167,175
2090,160,179
2095,159,181
2093,158,172
2091,169,163
2093,165,162
2094,172,173
2096,176,165
2096,178,166
2094,169,183
2100,157,179
2094,159,177
2093,172,159
2097,173,169
2095,169,168
2093,172,163
2104,163,173
2092,158,174
2093,164,176
2095,168,164
2093,173,164
2092,169,164
2093,168,159
2110,164,164
2097,163,177
2095,162,174
2095,159,175
2093,168,163
2096,168,165
2095,174,166
2095,171,169
2094,171,169
2105,163,176
2092,157,175
2092,191,180
2094,184,179
2105,193,179
2095,189,168
2096,186,173
2095,174,197
2148,175,185
2105,176,185
2095,213,170
2094,177,167
2092,186,223
2105,184,165
2156,171,186
2093,173,180
2095,205,183
2094,187,175
2097,184,234
2123,187,174
2098,189,191
2113,163,172
2095,169,189
2100,172,207
2104,483,217
2104,169,178
2103,176,168
2095,169,166
2095,170,164
2094,164,172
2097,165,163
2097,155,168
2094,161,173
2095,156,177
2093,169,162
2096,170,162
2096,167,160
2090,170,165
2095,168,169
2102,160,172
2103,166,173
2094,169,162
2092,171,170
2095,168,162
2094,168,162
2093,171,160
2099,159,171
2096,160,173
2095,160,173
2097,171,161
2095,172,167
2096,166,135
2093,169,170
2104,163,177
2096,160,180
2093,161,171
2093,167,164
2097,171,164
2097,172,164
2092,177,166
2096,170,164
2096,159,179
2096,156,171
2091,159,180
2095,177,171
2096,172,160
2094,172,167
2093,188,176
2106,172,174
2109,174,170
2098,175,187
2097,173,184
2096,186,169
2142,183,168
2091,187,171
2096,208,169
2094,187,178
2099,170,240
2095,169,188
2097,170,203
2094,187,174
2101,191,170
2104,197,170
2094,188,171
2118,174,183
2097,168,185
2102,199,180
2152,176,167
2099,193,173
2109,207,171
2096,170,173
2095,168,170
2097,168,162
2104,158,165
2097,159,175
2096,162,179
2102,164,155
2098,161,161
2093,159,173
2106,170,159
2100,160,175
2095,162,181
2098,163,168
2095,177,167
2096,170,163
2095,170,166
2094,172,162
2099,167,161
2094,162,176
2094,162,176
2095,169,162
2097,169,163
2095,171,171
2099,164,159
2090,178,167
2103,166,175
2095,163,173
2094,159,175
2095,169,165
2095,167,161
2095,168,165
2095,166,168
2100,162,168
2099,163,179
2098,167,171
2096,174,161
2093,173,161
2094,169,161
2094,172,165
2097,171,167
2101,158,178
2095,170,191
2096,174,189
2110,185,175
2091,194,175
2097,194,174
2096,193,161
2153,196,172
2096,167,199
2097,217,195
2100,168,186
2094,228,171
2098,197,169
2092,202,225
2099,191,169
2120,171,189
2103,173,206
2147,171,187
2092,214,178
2099,201,173
2104,185,171
2094,235,171
2097,196,186
2112,168,417
2105,223,182
2098,165,149
2091,172,165
2097,172,167
2102,160,181
2100,161,185
2098,164,172
2098,168,164
2094,167,140
2099,166,170
2097,170,163
2102,159,177
2103,157,171
2094,167,166
2096,168,164
2094,168,165
2095,169,159
2095,150,170
2094,161,169
2094,160,177
2092,164,159
2091,165,170
2095,171,164
2097,169,129
2092,169,160
2101,158,182
2099,159,170
2093,159,178
2096,170,160
2093,170,173
2101,169,164
2096,169,162
2110,162,167
2097,160,170
2096,160,170
2093,178,159
2096,170,158
2095,174,163
2093,180,168
2092,169,161
2102,177,191
2097,175,189
2111,183,185
2096,175,169
2100,182,167
2104,190,177
2150,187,176
2103,185,167
2098,195,202
2098,174,191
2152,185,167
2097,189,180
2110,230,170
2097,194,174
2104,217,173
2110,176,189
2105,172,242
2097,192,174
2102,239,171
2098,181,177
2183,462,203
2106,176,162
2099,158,179
2098,159,173
2105,177,160
2096,171,165
2100,166,162
2112,166,159
2101,157,170
2095,163,175
2095,165,156
2092,165,171
2099,170,169
2097,171,164
2094,168,167
2095,152,169
2094,158,173
2103,181,159
2098,165,159
2092,165,162
2092,163,158
2097,160,173
2097,159,171
2098,160,169
2097,172,159
2099,172,169
2093,167,156
2094,165,159
2103,162,171
2102,162,178
2096,156,171
2095,177,169
2098,170,160
2096,172,160
2093,170,162
2095,170,168
2106,164,175
2101,160,178
2103,161,189
2099,189,175
2098,188,222
2098,188,171
2098,179,172
2100,183,176
2101,224,189
2097,170,188
2152,185,167
2098,187,171
2151,184,165
2111,172,181
2104,204,189
2098,172,184
2098,170,239
2096,191,172
2100,187,165
2100,184,166
2158,183,170
2107,165,177
2094,462,228
2101,187,171
2105,167,177
2096,168,176
2097,161,170
2096,170,162
2095,171,166
2102,174,161
2097,169,165
2104,162,169
2096,164,169
2096,166,178
2095,173,163
2100,173,162
2101,172,167
2100,171,171
2101,155,167
2092,164,172
2099,167,170
2096,175,151
2096,172,163
2100,174,172
2095,170,157
2102,162,170
2100,166,170
2097,182,157
2113,177,162
2097,177,168
2094,170,162
2104,165,175
2098,164,177
2103,162,171
2097,172,164
2100,174,166
2096,178,161
2097,175,165
2106,164,173
2096,164,171
2098,164,170
2104,174,159
2100,177,170
2114,167,177
2099,176,190
2097,180,186
2110,191,168
2102,190,175
2110,204,169
2104,185,169
2098,175,201
2100,179,190
2151,176,189
2100,193,172
2104,230,169
2098,196,165
2105,218,171
2107,177,185
2153,177,197
2094,203,165
2163,193,174
2097,197,172
2105,201,172
2100,176,182
2099,176,267
2100,501,182
2105,173,173
2098,181,158
2095,167,163
2094,175,162
2096,170,167
2104,164,171
2095,164,172
2104,156,168
2094,163,167
2099,174,161
2095,176,166
2098,177,164
2099,163,172
2098,168,171
2097,168,177
2097,176,161
2098,177,161
2094,171,161
2095,169,166
2098,171,161
2094,164,182
2096,170,181
2104,166,176
2099,175,161
2098,172,169
2105,176,160
2097,172,164
2107,163,180
2100,168,174
2103,170,159
2098,175,166
2096,171,171
2097,174,164
2099,170,174
2096,164,169
2094,162,185
2103,177,159
2103,175,165
2100,175,169
2097,173,170
2111,161,173
