2113,227,474
2098,186,1623
2145,179,366
2142,178,400
2142,186,369
2149,216,379
2143,174,384
2348,282,417
2092,202,327
2083,174,342
2087,175,318
2086,173,324
2095,169,371
2087,174,311
2087,171,334
2086,175,343
2087,170,309
2085,177,329
2086,172,363
2095,170,559
2087,171,333
2088,170,350
2087,179,351
2097,171,325
2088,169,331
2087,182,336
2090,217,835
2100,175,374
2090,175,390
2091,179,347
2090,177,374
2091,177,393
2093,181,372
2091,177,1329
2092,173,360
2194,368,392
2098,179,331
2089,174,356
2089,178,345
2089,172,326
2096,218,322
2089,170,328
2090,170,358
2091,228,357
2089,171,347
2096,170,335
2089,172,339
2089,170,355
2089,168,340
2089,171,356
2091,177,310
2088,171,614
2086,169,322
2089,169,373
2091,196,377
2093,212,361
2092,204,355
2091,197,353
2093,197,556
2091,204,373
2095,228,357
2092,207,382
2095,207,370
2095,212,378
2093,211,518
2101,200,1366
2092,178,336
2098,170,337
2092,172,308
2090,172,316
2089,172,331
2091,172,341
2090,176,358
2092,170,325
2089,172,351
2093,170,324
2091,173,378
2092,178,354
2090,167,318
2091,169,333
2091,172,354
2092,172,340
2098,169,1003
2091,171,1053
2094,208,350
2092,209,383
2094,208,345
2092,219,344
2094,208,390
2094,206,365
2095,211,961
2095,211,367
2093,222,348
2094,208,648
2106,195,398
2091,176,339
2091,192,337
2092,171,1489
2099,168,335
2089,174,549
2091,167,372
2091,179,405
2085,174,428
2084,171,817
2085,179,317
2085,171,365
2084,169,1132
2086,168,330
2085,169,407
2085,173,330
2086,166,335
2086,169,335
2085,167,359
2085,168,360
2086,169,337
2086,174,326
2086,168,1187
2085,163,3414
2088,167,328
2086,170,333
2086,170,386
2090,220,429
2090,214,391
2089,209,392
2089,212,403
2092,207,399
2089,204,374
2091,220,347
2091,212,380
2092,211,706
2092,378,509
2098,192,580
2091,178,343
2088,173,362
2087,170,467
2089,178,331
2088,171,351
2088,169,338
2090,171,1588
2088,167,343
2087,176,346
2088,166,345
2088,168,1136
2087,169,358
2088,168,374
2086,168,349
2088,180,318
2089,166,371
2088,168,339
2088,170,417
2089,165,340
2091,175,395
2091,179,359
2091,175,1165
2092,176,357
2093,175,1447
2092,173,427
2092,183,360
2091,176,338
2094,178,353
2094,170,560
2098,202,455
2090,177,393
2089,171,1196
2089,171,386
2090,175,331
2088,170,357
2092,171,399
2090,169,1658
2090,168,337
2091,177,332
2090,168,328
2090,169,348
2090,171,331
2090,169,346
2091,166,379
2088,176,391
2090,172,330
2089,166,344
2091,167,329
2093,169,384
2094,204,786
2093,222,363
2093,208,392
2091,207,368
2093,206,426
2092,206,369
2093,206,375
2096,219,1413
2093,219,330
2095,210,661
2098,198,388
2088,182,342
2090,179,350
2088,171,339
2092,172,347
2090,168,447
2089,170,339
2089,174,319
2090,166,337
2090,171,409
2090,170,344
2089,168,367
2091,178,335
2088,169,341
2091,168,339
2089,168,352
2090,168,332
2091,168,337
2089,176,325
2092,172,505
2092,172,408
2090,176,437
2091,177,966
2091,181,433
2094,173,405
2093,174,405
2094,173,490
2093,180,398
2093,174,373
2094,185,1599
2099,192,453
2090,179,320
2093,180,341
2090,171,821
2090,171,407
2089,170,346
2090,171,355
2092,175,350
2092,169,322
2089,171,326
2092,166,332
2090,168,338
2095,179,332
2092,167,353
2092,169,311
2091,167,345
2092,169,904
2092,169,444
2092,176,342
2091,168,368
2093,209,348
2092,214,377
2095,206,360
2093,212,477
2094,215,704
2093,208,381
2093,213,486
2094,215,400
2095,209,364
2094,383,616
2100,197,354
2089,177,1541
2092,171,424
2090,175,354
2091,166,474
2089,170,335
2090,167,387
2089,171,355
2091,173,379
2089,166,355
2091,166,377
2089,169,333
2090,168,379
2091,175,346
2091,171,316
2090,166,439
2090,166,338
2089,171,334
2090,168,336
2089,182,401
2142,171,366
2093,225,1197
2094,228,368
2093,218,408
2093,229,378
2092,233,1305
2095,226,867
2094,233,367
2094,368,489
2099,196,324
2090,175,366
2091,172,341
2089,171,400
2089,175,307
2088,170,332
2091,167,346
2089,167,333
2091,171,329
2090,176,1541
2091,167,327
2091,168,335
2091,168,334
2095,169,378
2090,167,357
2090,178,419
2091,166,326
2090,168,338
2089,170,373
2090,168,380
2093,202,447
2094,227,352
2092,207,1193
2093,205,351
2093,205,441
2093,205,394
2095,208,529
2094,223,360
2094,210,360
2095,204,1733
2106,197,365
2091,176,390
2089,173,346
2091,172,357
2090,171,321
2090,180,319
2092,168,345
2092,167,484
2090,172,328
2091,167,410
2089,174,363
2094,170,396
2093,168,340
2091,166,397
2091,170,366
2089,169,339
2090,180,313
2094,167,933
2090,169,423
2089,167,386
2090,167,380
2093,213,366
2092,221,411
2093,213,373
2093,211,1747
2092,210,362
2092,211,400
2093,208,392
2093,215,958
2094,217,369
2094,380,519
2105,195,371
2092,176,331
2090,171,513
2091,171,445
2093,171,376
2092,177,347
2091,167,381
2090,169,332
2091,167,370
2091,166,340
2094,178,1069
2090,170,657
2091,170,339
2090,169,328
2091,167,382
2090,167,343
2091,175,348
2090,169,407
2091,167,1565
2092,166,335
2092,184,385
2095,174,366
2096,187,388
2093,172,1252
2093,173,363
2104,175,418
2107,173,371
2104,180,372
2104,175,350
2107,174,694
2102,191,381
2087,178,320
2089,173,350
2087,168,391
2086,178,354
2090,170,347
2087,165,1540
2087,169,344
2087,169,362
2086,175,342
2087,168,346
2087,167,341
2087,169,336
2088,169,629
2087,167,406
2088,174,317
2087,168,581
2087,165,351
2087,169,336
2087,166,403
2090,174,1377
2092,180,388
2088,172,425
2089,172,456
2090,175,346
2089,171,369
2092,172,357
2091,183,368
2093,174,364
2095,174,693
2097,199,362
2090,178,369
2091,180,353
2088,172,378
2091,171,342
2089,168,361
2088,168,339
2090,177,338
2089,167,509
2091,180,473
2088,168,356
2090,166,330
2091,170,350
2088,176,341
2089,167,364
2093,168,400
2089,168,364
2090,168,356
2091,166,415
2088,176,359
2093,211,373
2091,212,408
2095,206,1142
2092,206,386
2092,203,512
2093,229,437
2092,216,393
2093,211,368
2093,213,342
2093,374,1531
2098,195,344
2088,173,344
2092,175,406
2089,170,418
2089,182,327
2090,170,379
2088,167,341
2091,167,346
2091,168,316
2090,177,320
2092,170,392
2089,169,336
2089,170,337
2091,167,370
2088,166,337
2092,177,491
2092,169,345
2089,167,792
2090,171,426
2089,169,430
2091,211,358
