2084,56,10,307
2086,58,9,3484
2085,50,10,391
2083,48,9,393
2084,56,10,2563
2083,60,9,372
2086,64,11,360
2093,118,9,381
2087,63,10,323
2092,92,10,348
2085,64,36,356
2094,109,8,888
2084,59,8,629
2088,64,9,437
2088,58,8,331
2148,58,19,958
2087,63,9,474
2137,62,8,943
2087,64,9,394
2163,340,9,310
2095,66,8,287
2086,57,12,292
2086,55,9,331
2087,55,8,282
2086,56,8,394
2087,49,10,299
2085,56,9,294
2086,57,10,285
2086,57,10,2381
2084,55,29,296
2087,61,8,707
2085,60,9,843
2084,55,9,377
2088,60,9,281
2087,57,19,289
2087,49,9,304
2085,56,9,322
2087,55,11,287
2085,55,9,279
2087,54,9,281
2086,58,9,517
2093,55,10,299
2087,56,9,295
2086,56,9,845
2088,56,9,306
2088,56,9,413
2087,61,9,394
2089,62,10,373
2087,118,9,603
2089,64,9,459
2143,65,11,352
2090,59,38,380
2141,63,9,369
2089,64,9,353
2139,57,8,353
2092,58,10,333
2088,118,9,361
2089,57,10,332
2090,112,9,384
2091,57,19,356
2144,342,9,339
2098,66,9,283
2088,62,9,307
2089,57,41,320
2089,50,10,286
2091,56,10,286
2088,60,17,290
2089,63,16,367
2090,56,29,294
2088,57,9,1092
2096,55,10,285
2089,57,9,385
2092,57,9,281
2089,56,8,1043
2098,49,10,387
2091,56,8,602
2090,56,9,308
2089,56,9,315
2089,49,10,296
2090,56,9,285
2090,55,9,287
2089,57,8,293
2090,49,9,314
2089,56,9,327
2090,56,9,826
2098,56,9,292
2090,48,32,608
2091,51,8,296
2093,64,9,377
2090,65,8,320
2092,64,9,321
2090,64,10,326
2090,65,9,350
2093,63,10,324
2090,53,9,366
2092,65,9,308
2089,63,16,360
2090,63,17,317
2091,65,8,287
2090,61,8,720
2090,66,9,358
2092,64,9,522
2101,93,9,276
2090,62,10,299
2089,58,9,265
2089,59,8,3148
2089,58,9,253
2091,57,39,1491
2087,55,11,295
2089,56,8,318
2091,55,20,294
2089,55,8,330
2089,60,9,282
2090,56,9,875
2089,55,8,319
2091,55,83,3631
2090,56,10,241
2090,54,9,295
2092,55,10,292
2089,56,9,257
2090,55,9,325
2089,56,8,280
2090,55,8,309
2090,57,8,300
2090,56,27,457
2091,55,8,331
2091,50,9,282
2089,57,9,309
2090,57,9,294
2091,64,9,456
2089,92,10,290
2089,59,37,324
2093,57,9,1071
2097,61,9,321
2141,64,8,321
2097,64,44,365
2142,58,10,336
2098,52,9,330
2091,117,20,526
2096,51,20,331
2141,58,9,3446
2145,57,8,422
2098,88,9,296
2095,63,9,461
2090,61,22,293
2089,55,9,277
2088,50,9,287
2091,57,8,261
2090,49,11,299
2092,56,9,957
2090,54,9,295
2092,55,10,290
2090,54,38,336
2091,55,13,280
2090,48,35,703
2090,55,17,294
2090,48,15,1752
2090,55,8,291
2091,55,8,313
2092,56,9,324
2091,55,9,760
2089,56,91,423
2089,54,9,956
2090,56,8,4976
2087,55,27,3278
2092,55,9,413
2091,55,46,449
2091,50,8,359
2089,56,19,330
2089,56,19,361
2091,63,43,449
2142,63,9,872
2097,52,34,322
2147,58,11,311
2098,62,9,328
2092,91,10,344
2091,58,8,366
2090,112,9,286
2097,63,78,503
2093,114,10,296
2098,63,9,319
2091,52,9,291
2092,67,8,328
2089,59,9,281
2092,355,10,474
2099,64,8,252
2090,57,9,280
2092,56,9,439
2092,56,9,349
2094,57,9,281
2089,57,10,284
2091,54,9,260
2088,56,9,253
2089,56,8,261
2090,51,8,263
2092,55,9,289
2091,49,9,383
2089,55,21,1224
2091,55,26,312
2089,56,9,246
