2110,628,270
2101,565,298
2099,611,320
2091,622,305
2107,604,317
2092,622,309
2113,614,323
2091,622,303
2113,610,323
2116,621,303
2158,599,322
2095,614,306
2107,607,319
2110,614,311
2154,946,339
2108,578,296
2114,581,296
2094,573,293
2096,573,310
2094,614,302
2114,612,309
2157,597,298
2100,617,314
2097,609,310
2112,628,312
2178,609,311
2099,620,312
2100,626,310
2114,612,272
2154,615,316
2220,873,309
2122,557,302
2106,572,295
2098,560,302
2099,574,302
2099,582,313
2103,615,308
2103,593,314
2103,618,312
2153,609,301
2101,597,307
2102,586,316
2116,606,310
2102,623,314
2100,620,311
2101,580,315
2103,631,625
2105,665,300
2098,574,254
2100,551,302
2098,574,294
2099,578,305
2101,623,271
2119,596,315
2151,618,313
2102,610,310
2101,609,272
2115,587,310
2156,612,311
2101,608,311
2129,607,302
2118,587,313
2151,864,376
2104,645,300
2103,572,303
2095,552,305
2097,583,319
2105,579,257
2098,580,300
2097,591,312
2116,610,308
2148,619,328
2100,610,309
2100,592,320
2115,613,319
2152,605,311
2097,596,313
2101,584,313
2115,613,305
2294,847,312
2103,574,298
2097,575,302
2098,550,301
2097,573,298
2097,606,316
2102,612,318
2101,584,317
2099,621,305
2154,633,312
2101,623,307
2099,588,321
2113,614,311
2155,614,305
2099,603,310
2101,729,509
2105,659,310
2104,578,301
2098,580,299
2098,548,297
2097,574,295
2097,570,308
2098,619,309
2114,587,322
2152,618,315
2102,618,306
2101,594,302
2115,577,308
2153,608,308
2099,611,315
2100,611,305
2117,582,314
2155,935,341
2104,622,302
2097,555,300
2097,573,295
2097,578,302
2096,572,296
2098,547,299
2098,620,312
2099,626,311
2100,618,312
2100,593,318
2151,613,307
2098,614,310
2099,609,312
2114,575,313
2158,620,310
2097,618,308
2102,615,311
2220,861,308
2105,554,304
2098,574,295
2099,571,297
2100,569,296
2097,591,316
2100,626,313
2102,620,315
2103,613,310
2150,578,310
2101,614,314
2100,618,319
2117,619,308
2101,587,314
2098,640,314
2100,621,315
2239,852,314
2105,591,296
2100,574,294
2099,572,298
2101,581,312
2103,614,306
2103,607,301
2102,603,309
2103,616,300
2104,602,316
2101,623,303
2119,603,308
