2091,66,14,509
2093,68,15,1551
2092,69,34,516
2144,69,15,503
2091,68,15,492
2144,67,15,594
2091,70,49,565
2147,66,64,772
2101,97,16,423
2093,71,14,500
2091,68,23,483
2093,67,14,3810
2099,67,15,462
2093,66,16,475
2092,67,14,466
2094,66,14,603
2102,65,19,522
2093,64,15,962
2095,66,15,531
2095,66,13,535
2100,68,15,512
2153,72,14,496
2095,68,16,754
2159,68,20,516
2102,67,18,525
2147,69,14,498
2098,67,14,476
2149,68,23,463
2105,69,20,584
2152,68,15,499
2097,67,14,509
2126,341,16,475
2109,83,19,498
2098,69,15,587
2096,68,45,550
2094,67,17,470
2103,67,17,596
2103,68,16,517
2098,66,14,3660
2102,65,16,447
2096,67,21,540
2096,67,22,508
2096,65,15,467
2101,68,16,476
2095,66,17,436
2101,67,14,451
2095,70,15,461
2103,69,15,1267
2152,71,15,578
2099,69,21,927
2152,66,15,513
2096,69,14,509
2096,69,14,524
2104,68,14,461
2148,70,18,506
2105,69,14,446
2151,68,19,508
2103,68,15,730
2101,97,21,575
2100,75,18,608
2096,69,15,439
2099,67,33,3442
2093,66,16,472
2092,68,17,581
2102,68,17,496
2095,67,15,447
2101,65,16,512
2095,67,15,502
2096,67,14,481
2148,69,29,483
2100,72,20,876
2149,100,21,831
2094,68,14,543
2096,70,50,574
2097,68,18,510
2149,68,15,512
2102,69,14,887
2149,68,15,753
2097,70,14,874
2101,94,15,522
2092,70,51,519
2094,66,17,511
2100,66,19,434
2095,66,15,440
2101,68,14,472
2093,65,14,506
2100,65,14,425
2094,66,15,463
2100,66,14,436
2092,67,15,494
2098,66,14,418
2097,67,15,470
2093,75,13,540
2144,69,17,536
2100,69,13,585
2096,68,17,1021
2092,68,14,572
2147,69,18,587
2094,67,24,564
2147,68,14,517
2100,69,68,847
2147,68,28,520
2096,90,16,757
2103,91,17,492
2099,70,14,456
2095,67,16,480
2100,66,15,520
2093,68,15,464
2101,66,108,548
2093,67,15,578
2095,65,14,449
2095,66,15,857
2100,66,16,726
2093,65,19,567
2095,71,14,601
2153,70,16,585
2102,70,15,626
2156,64,15,664
2101,69,16,3688
2095,71,14,582
2097,126,14,525
2095,70,14,587
2143,68,17,646
2102,69,27,794
2105,106,19,669
2094,72,23,539
2095,68,17,622
2094,69,26,455
2093,68,26,496
2166,68,13,523
2093,66,64,557
2156,67,14,460
2094,66,15,474
2157,66,15,1688
2095,66,16,809
2096,67,18,675
2093,67,14,708
2101,71,14,3997
2096,70,15,668
2145,68,15,804
2095,70,22,663
2153,69,19,1420
2097,68,14,672
2149,69,14,882
2095,69,21,3651
2096,68,14,690
2145,69,15,897
2107,95,14,544
2096,69,19,517
2102,68,16,568
2095,67,15,446
2095,68,19,662
2096,66,14,822
2104,66,16,851
2094,67,13,3552
2095,65,18,519
2094,65,20,585
2096,66,69,593
2102,68,20,528
2153,71,14,505
2103,70,45,535
2150,69,64,531
2103,69,16,656
2147,68,14,587
2096,67,16,497
2144,68,17,552
2104,69,14,513
2146,68,20,627
2101,68,57,776
2104,98,44,502
2093,72,27,608
2093,71,15,456
2101,67,15,477
2094,67,72,503
2100,67,15,442
2094,68,74,512
2101,66,15,604
2092,66,18,494
2100,66,15,473
2093,67,15,494
2093,71,13,578
2153,69,15,459
2100,69,15,5074
2093,68,20,522
2151,68,14,671
2094,70,14,512
2148,69,77,593
2094,69,16,496
2149,70,14,467
2094,69,17,491
2163,331,14,497
2102,83,20,459
2095,69,19,453
2095,68,14,419
2094,68,14,412
2093,67,16,466
2096,64,15,453
2093,67,13,456
2093,67,27,881
2097,65,15,1757
2091,65,17,469
2094,66,60,3561
2094,65,37,511
2093,68,17,511
2145,69,15,587
2097,70,14,600
2145,68,15,513
2094,66,15,878
2148,66,15,596
2096,66,83,912
2155,68,13,520
2097,69,16,674
2144,67,14,525
2094,68,43,813
2106,97,14,447
2096,72,15,475
2095,68,14,443
2098,68,14,3578
2096,68,14,518
2095,67,95,598
2093,67,18,497
2095,66,14,438
2094,67,19,909
2101,65,18,595
2096,70,25,627
2102,123,17,567
2097,69,16,501
2146,69,15,664
2098,69,15,527
2150,69,15,617
2096,70,14,532
2155,70,15,533
2099,70,16,538
2160,68,43,723
2104,94,15,582
2094,71,20,428
2094,68,20,819
2095,71,14,519
2093,66,81,548
2100,67,23,496
2096,66,75,553
2102,66,23,448
2093,65,15,642
2100,66,16,449
2096,65,21,3461
2095,62,14,1461
2096,67,14,4722
2095,66,39,927
2096,67,16,783
2149,70,47,615
2096,70,16,569
2154,66,16,546
2095,68,15,500
2163,68,16,654
2095,68,15,674
2153,68,14,573
2096,69,14,1268
2152,67,39,3895
2159,339,18,465
2102,84,14,457
2093,71,15,512
2094,68,14,441
2100,68,15,501
2095,66,14,439
2102,66,14,456
2095,66,16,546
2095,66,14,1176
2094,64,14,486
2094,65,30,444
2094,66,14,914
2100,69,40,1311
2143,70,36,1125
2096,69,28,664
2149,68,30,593
2093,69,20,781
2096,69,23,570
2094,69,15,3523
2098,67,16,592
2153,67,14,551
2095,68,15,3669
2104,364,14,534
2101,77,14,823
2091,68,14,592
2096,66,45,536
2099,67,15,490
2095,66,14,465
2106,66,15,940
2093,67,16,5078
2095,65,14,680
2095,68,16,591
2095,66,13,555
2092,66,16,496
2095,66,15,473
2095,67,14,499
2147,69,55,548
2095,75,14,3476
2096,68,26,538
2149,70,16,482
2095,69,15,585
2147,68,25,548
2093,69,15,516
2153,67,15,699
2093,68,16,522
2150,70,14,803
2105,94,15,480
2101,77,15,508
2095,68,14,568
2101,67,14,452
2093,69,21,461
2102,65,21,528
2094,69,14,585
2096,66,15,432
2093,67,16,857
2100,66,15,494
2096,67,23,869
2100,66,14,519
2093,63,13,607
2094,65,46,511
2095,65,14,660
2101,68,69,613
2146,70,20,581
2096,69,16,534
2148,69,14,527
2101,70,14,558
2151,69,14,489
2096,68,17,460
2147,69,14,562
2103,69,14,504
2153,69,18,629
2103,95,15,417
2098,77,23,947
2100,69,16,528
2096,68,13,817
2098,67,18,565
2095,67,14,517
2099,65,17,525
2096,66,20,1313
2092,66,15,443
2095,67,14,452
2102,66,13,418
2094,70,14,471
2103,71,15,3586
2152,69,13,513
2096,72,15,644
2150,69,15,510
2095,68,14,521
2158,68,15,576
2095,67,15,484
2162,68,14,509
2093,69,16,486
2154,68,41,742
2104,99,14,521
2095,71,25,494
2093,67,14,438
2099,69,13,514
2095,68,14,460
2100,66,14,472
2092,67,15,551
2093,68,15,431
2094,66,18,1408
2094,66,18,474
2094,65,16,466
2098,66,18,482
2094,70,13,511
2159,70,15,448
2094,70,22,519
2152,70,19,506
2094,69,29,619
2156,68,57,585
2099,72,14,474
2143,69,14,445
2096,66,16,851
2160,69,14,484
2103,96,14,478
2100,72,15,462
2095,67,16,521
2100,67,13,438
2096,66,53,561
2095,67,31,443
2096,66,13,507
2103,65,14,442
2096,65,13,411
2101,67,16,453
2097,68,62,1774
2146,70,15,451
2096,72,31,580
2153,68,17,473
2098,69,16,616
2152,68,20,471
2097,69,14,550
2152,68,18,460
2097,69,20,738
2150,68,15,472
2097,70,15,885
2103,348,16,506
2101,84,14,457
2102,70,56,502
2094,67,19,557
2100,69,17,406
2093,68,15,504
2101,66,38,574
2094,66,14,580
2100,65,15,427
2094,64,50,1579
2094,64,19,519
2093,66,23,501
2094,66,15,518
2095,70,14,523
2151,71,18,515
2096,69,19,513
2147,68,21,517
2095,70,15,514
2156,68,15,490
2096,67,21,537
2148,68,15,504
2095,67,15,589
2153,70,14,494
2106,98,14,874
2096,72,49,508
2096,68,15,445
2098,67,14,565
2092,66,16,526
2093,67,16,486
2094,66,34,633
2100,66,16,1281
2094,64,14,488
2093,66,88,543
2091,67,15,428
2093,68,15,564
2093,75,14,1014
2102,68,15,3450
2104,72,14,578
2096,73,15,620
2096,71,15,507
2104,127,14,518
2105,73,23,519
2098,69,14,489
2100,68,16,496
2159,74,18,547
2104,89,15,487
2124,71,14,723
2101,104,15,418
2094,77,20,596
2100,70,18,734
2097,67,48,497
2093,68,15,679
2093,67,14,826
2094,67,15,461
2098,85,38,646
2089,72,15,513
2091,84,16,618
2148,94,15,521
2092,69,17,3617
2088,69,29,522
2089,68,15,2845
2092,68,14,2006
2089,92,17,485
2159,69,17,514
2099,68,17,486
2146,70,16,568
2101,104,15,416
2090,71,44,634
2098,68,40,625
2088,67,13,482
2091,66,15,401
2091,66,15,465
2096,119,15,411
2092,65,17,462
2097,71,18,578
2092,65,14,450
2101,67,16,819
2095,71,15,496
2111,67,36,584
2146,69,18,462
2092,68,16,526
2144,66,15,477
2099,67,15,3519
2090,89,16,593
2169,66,49,511
2122,89,52,553
2141,69,29,579
2103,124,26,498
2095,85,41,3666
2092,68,18,470
2093,67,16,455
2089,67,17,421
2091,66,16,6295
2092,66,17,623
2093,64,15,693
2094,65,13,545
2098,69,14,589
2146,69,26,477
2093,68,85,633
2148,68,14,590
2094,66,19,3581
2095,68,14,563
2094,116,14,517
2092,67,31,532
2153,67,16,455
2093,69,14,540
2142,68,15,804
2101,99,90,495
2093,70,17,3733
2093,66,16,407
2095,66,47,482
2093,66,17,462
2099,66,54,459
2094,65,32,568
2093,65,14,467
2093,65,16,434
2099,65,13,671
2091,69,18,504
2137,94,16,3560
2100,75,37,541
2095,118,17,581
2093,66,14,591
2149,69,18,504
2098,69,22,541
2146,66,15,447
2095,65,34,565
2149,68,13,530
2100,66,15,604
2170,67,24,2873
2104,101,18,1764
2095,67,19,457
2108,65,27,481
2100,68,14,422
2094,68,26,443
2099,89,14,469
2094,64,15,429
2099,66,14,553
2094,66,16,389
2099,64,18,540
2091,66,15,437
2100,68,16,520
2148,66,19,448
2102,69,21,452
2145,66,14,590
2120,76,16,483
2162,67,14,514
2096,86,54,466
2147,66,15,442
2100,67,26,442
2150,77,18,494
2098,90,14,697
2104,101,14,380
2093,72,15,382
2092,67,28,455
2098,68,15,428
2093,75,19,497
2099,67,24,535
2089,66,21,466
2113,135,17,1079
2271,67,17,602
2092,65,18,487
2095,66,19,430
2107,67,14,511
2094,64,16,3652
2092,66,18,469
2092,65,37,4062
2092,67,17,3795
2092,65,16,3782
2092,68,26,744
2101,74,14,534
2142,66,16,539
2102,68,15,477
2154,65,21,638
2096,74,25,507
2148,66,16,511
2186,72,13,600
2163,73,94,615
2095,67,20,497
2161,71,18,720
2110,95,20,827
2096,73,55,592
2120,98,19,457
2097,77,47,606
2106,129,14,2665
2105,144,17,601
2095,64,15,683
2101,68,18,522
2095,67,25,612
2150,68,18,593
2095,69,21,582
2152,66,19,595
2094,66,15,608
2146,67,14,592
2096,69,17,691
2099,65,21,714
2094,68,14,921
2147,68,44,525
2096,67,20,523
2139,67,16,721
2104,97,17,417
2091,73,14,442
2095,68,65,469
2099,66,17,470
2095,69,25,429
2098,67,17,1073
2102,66,15,691
2094,64,16,512
2094,66,17,477
2092,65,16,498
2095,64,17,446
2107,63,18,521
2095,65,15,435
2099,64,15,470
2095,66,15,606
2092,66,29,437
2094,64,16,3737
2143,67,38,866
2099,68,17,670
2146,67,16,613
2097,67,98,602
2095,69,15,3953
2145,65,19,775
2102,101,22,611
2147,67,16,815
2094,65,15,732
2147,67,16,1199
2103,101,16,844
2096,72,15,585
2093,67,16,448
2095,66,15,428
