2091,761,358
2093,1047,380
2106,665,336
2091,662,335
2092,659,329
2091,665,341
2091,664,336
2092,754,375
2108,751,394
2099,772,376
2097,773,402
2101,761,349
2124,666,339
2092,662,333
2090,683,336
2091,673,351
2095,744,416
2102,745,422
2093,767,436
2100,753,611
2100,752,354
2089,667,336
2100,665,343
2090,642,341
2092,720,359
2104,696,366
2102,767,381
2109,782,374
2105,769,378
2104,1050,415
2094,779,345
2089,664,334
2090,661,333
2089,674,339
2089,667,352
2091,729,416
2093,766,427
2092,772,448
2092,744,599
2109,760,340
2090,677,341
2099,652,348
2089,669,344
2089,782,374
2102,747,382
2101,787,388
2105,757,380
2103,1076,389
2101,693,351
2089,660,336
2087,693,351
2092,751,355
2089,741,343
2090,784,370
2090,786,359
2091,799,367
2093,1024,379
2103,661,335
2091,706,355
2143,707,358
2146,772,393
2151,763,389
2151,772,589
2096,757,348
2088,662,333
2087,663,331
2088,672,340
2097,674,347
2095,740,441
2091,746,431
2092,776,434
2101,784,596
2099,758,347
2092,664,331
2089,709,349
2141,723,362
2143,775,398
2149,755,383
2146,772,622
2096,761,348
2087,662,332
2088,660,333
2088,672,338
2086,671,354
2090,744,447
2091,747,429
2090,780,434
2099,767,592
2100,753,342
2090,657,335
2089,715,356
2141,721,363
2143,768,393
2145,757,380
2144,773,393
2107,774,347
2088,661,343
2087,667,345
2089,665,342
2087,705,365
2093,795,386
2094,709,339
2086,661,337
2089,663,333
2089,661,335
2088,701,355
2102,742,362
2090,754,441
2093,736,480
2092,769,658
2103,756,344
2093,662,334
2091,665,337
2092,705,366
2102,769,384
2109,779,376
2106,756,377
2093,1071,387
2096,715,339
2088,706,362
2146,760,390
2158,733,398
2094,830,382
2096,1099,381
2100,663,343
2087,664,336
2088,699,350
2091,746,354
2093,732,343
2089,763,364
2091,804,389
2091,786,374
2094,1014,375
2099,661,334
2090,664,335
2090,664,331
2090,666,335
2090,718,354
2104,683,369
2106,772,382
2105,776,396
2107,772,381
2103,1047,364
2106,664,334
2093,672,339
2091,676,365
2095,747,359
2094,725,342
2094,720,355
2094,683,357
2093,742,353
2093,710,349
2095,717,353
2097,704,355
2094,971,436
2111,725,334
2095,671,334
2094,646,341
2092,665,337
2090,696,359
2097,771,373
2095,775,376
2095,790,387
2095,799,381
2098,1049,383
2110,664,339
2097,670,349
2096,653,343
2094,755,381
2106,772,375
2110,751,384
2112,768,384
2112,1062,377
2104,668,344
2089,664,333
2091,709,350
2091,747,352
2091,736,344
2091,771,368
2092,780,393
2095,791,377
2095,1020,378
2102,660,332
2091,664,333
2090,666,334
2089,665,333
2091,712,357
2103,688,356
2102,757,391
2107,762,334
2108,764,388
2107,1046,380
2105,666,340
2091,664,335
2092,714,353
2103,737,357
2095,727,341
2094,760,361
2095,782,454
2097,799,365
2095,1033,384
2101,660,336
2093,663,332
2093,672,286
2091,665,335
2093,715,349
2107,687,357
2102,776,375
2110,754,387
2096,783,372
2098,1031,365
2105,666,335
2093,675,339
2092,696,371
2092,714,361
2095,708,353
2094,723,348
2095,689,351
2094,717,351
2096,719,347
2095,741,347
2097,708,361
2097,726,356
2096,1041,383
2108,663,334
2096,664,334
2093,659,333
2093,669,341
2095,702,349
2095,747,377
2097,765,371
2094,809,394
2108,797,374
2110,750,345
2096,659,330
2095,672,337
2096,658,328
2097,753,367
2156,752,381
2106,763,388
2105,781,345
2099,1052,361
2104,662,334
2091,665,336
2091,687,364
2092,711,315
2092,701,352
2094,722,350
2094,687,361
2092,715,350
2094,714,340
2092,737,348
2093,709,355
2095,727,353
2095,1038,377
2108,661,336
2094,675,338
2094,653,342
2092,746,383
2156,768,375
2145,772,404
2168,798,662
2099,748,337
2094,666,332
2093,659,332
2098,703,361
2104,689,368
2105,779,397
2107,742,392
2106,784,380
2103,1040,364
2105,657,334
2090,667,339
2093,686,364
2092,708,359
2095,705,350
2094,727,350
2091,689,358
2091,720,362
2093,715,349
2093,715,353
2095,696,359
2094,722,353
2095,1029,375
2108,664,340
2094,658,334
2093,660,330
2094,666,334
2090,695,348
2097,782,358
2104,764,355
2096,783,385
2096,784,391
2109,753,355
2095,669,345
2093,747,389
2155,773,375
2164,784,374
2099,863,669
2096,744,336
2087,665,329
2089,663,294
2096,709,359
2132,696,365
2104,756,380
2099,770,394
2105,766,379
2101,1027,361
2107,656,336
2091,705,365
2143,767,385
2151,739,392
2163,769,389
2092,1112,381
2100,662,306
2089,660,343
2086,649,342
2088,668,344
2088,700,359
2091,770,422
2094,767,371
2091,814,377
2092,805,592
2101,763,340
2091,664,333
2093,675,332
2095,717,358
2104,753,382
2105,748,378
2102,790,376
2104,784,662
2096,749,342
2090,659,331
2090,673,331
2097,710,356
2101,678,365
2104,758,379
2106,757,372
2108,765,385
2106,1060,384
2097,678,339
2092,658,333
2090,696,350
2093,747,349
2095,734,341
2091,767,357
2094,807,370
2090,808,364
2107,756,349
2097,659,331
2090,658,297
2092,668,334
2099,651,331
2092,717,367
2102,766,384
2104,774,397
2107,762,380
2106,1071,385
2107,715,342
2089,668,333
2092,660,327
2093,669,343
2090,674,350
2094,735,371
2102,757,428
2091,774,449
2091,783,620
2101,754,305
2092,660,359
2092,671,335
2090,709,377
2102,776,389
2104,786,387
2104,761,379
2105,1056,401
2103,715,336
2090,662,331
2088,656,331
2088,675,331
2092,666,344
2090,744,410
2104,757,417
2092,765,445
2094,748,593
2102,754,353
2091,668,334
2093,665,336
2092,648,343
2091,715,354
2101,699,366
2103,766,380
2106,770,396
2106,771,335
2103,1055,377
2104,663,340
2091,666,332
2091,695,351
2097,728,355
2094,716,346
2094,762,370
2092,782,386
2095,796,365
2097,1033,374
2100,671,340
2092,659,334
2091,670,331
2092,664,335
2090,718,354
2102,704,365
2101,760,345
2106,774,404
2103,774,397
2417,769,350
2094,653,332
2091,669,337
2091,684,325
2094,703,316
2092,700,354
2096,725,353
2092,690,361
2093,712,350
2093,710,341
2094,736,347
2095,704,360
2094,717,353
2096,1039,377
2107,671,336
2094,665,341
2093,654,344
2091,751,373
2110,759,380
2105,746,393
2106,779,384
2095,1045,376
2104,659,338
2091,667,337
2093,694,349
2095,727,352
2095,713,346
2095,762,372
2093,792,344
2095,791,363
2095,1036,377
2100,666,338
2091,667,341
2092,668,332
2093,659,335
2091,714,354
2105,680,367
2105,775,380
2104,757,395
2107,769,376
2108,1054,380
2104,665,338
2091,662,333
2092,698,348
2094,747,353
2097,724,342
2093,763,358
2095,781,388
2094,796,364
2095,1030,375
2100,659,336
2091,660,290
2091,675,328
2092,672,333
2092,720,358
2102,698,364
2103,770,391
2106,764,378
2110,753,380
2107,1048,379
2104,663,337
2091,663,334
2091,697,349
2096,727,357
2094,720,343
2095,764,370
2094,782,347
2096,793,360
2096,1033,377
2100,666,336
2093,663,334
2090,674,332
2090,716,367
2103,768,389
2105,779,391
2107,750,331
2105,771,581
2100,763,307
2091,662,331
2091,668,330
2091,669,338
2090,682,346
2096,736,410
2096,757,430
2093,781,464
2103,763,592
2103,757,345
2095,646,342
2092,661,328
2100,660,292
2099,657,339
2092,661,304
2091,709,360
2093,761,383
2096,772,373
2095,813,381
2094,810,588
2103,748,347
2094,664,330
2094,669,335
2095,700,362
2107,751,386
