1589240186639,203
2100,126
2116,159
2094,127
2116,139
2096,123
2097,122
2098,125
2095,124
2110,126
2095,130
2094,123
2095,126
2093,124
2094,141
2093,126
2095,128
2093,123
2094,126
2096,126
2094,124
2095,123
2102,124
2096,122
2175,131
2095,124
2094,138
2094,126
2097,130
2097,131
2107,183
2113,132
2098,126
2097,131
2097,134
2093,132
2099,142
2095,128
2099,126
2098,130
2144,133
2097,128
2099,153
2096,152
2099,130
2142,130
2095,129
2118,127
2094,128
2096,140
2149,125
2108,128
2095,128
2097,126
2093,125
2155,124
2090,126
2091,131
2145,131
2093,126
2102,140
2095,152
2099,149
2109,149
2085,127
2140,125
2086,133
2084,146
2090,123
2085,123
2139,124
2084,123
2086,140
2137,122
2086,122
2083,122
2133,123
2085,123
2097,125
2083,124
2086,120
2135,124
2086,195
2084,126
2087,137
2087,121
2141,122
2085,124
2085,125
2139,122
2088,139
2090,122
2086,399
2088,137
2082,125
2084,122
2083,122
2083,122
2082,131
2083,120
2089,126
2082,116
2082,119
2083,118
2083,120
2083,117
2083,118
2084,122
2083,211
2086,133
2082,118
2081,118
2083,111
2084,113
2083,118
2085,130
2084,118
2084,120
2083,119
2084,121
2085,120
2083,118
2085,117
2082,120
2084,118
2083,144
2084,114
2084,120
2084,118
2084,118
2084,120
2084,119
2083,117
2085,117
2083,117
2082,118
2080,120
2084,118
2082,120
2097,119
2082,120
2085,120
2082,125
2084,120
2086,117
2083,130
2085,120
2085,127
2084,118
2084,119
2082,116
2099,131
2082,118
2083,119
2084,118
2085,114
2083,119
2097,119
2084,117
2083,120
2083,120
2084,120
2082,116
2083,132
2083,117
2095,121
2084,117
2082,120
2086,118
2085,119
2083,120
2084,122
2085,119
2081,117
2085,131
2082,119
2084,117
2085,141
2096,118
2089,134
2081,119
2083,117
2084,116
2086,129
2083,119
2083,120
2083,119
2085,119
2086,118
2096,120
2085,117
2083,118
2084,117
2083,120
2083,131
2083,118
2082,119
2083,116
2084,119
2084,119
2099,118
2084,119
2083,118
2083,149
2086,117
2087,138
2081,121
2084,116
2082,119
2083,128
2087,116
2084,118
2085,118
2086,118
2082,118
2083,118
2098,117
2083,117
2084,115
2157,117
2086,117
2084,239
2082,113
2085,127
2086,119
2083,119
2088,123
2084,113
2085,119
2086,116
2083,116
2084,119
2084,119
2085,119
2088,119
2086,116
2083,116
2100,116
2085,119
2084,118
2084,120
2084,119
2085,130
2084,117
2084,117
2083,120
2084,118
2088,116
2088,118
2086,118
2085,119
2085,116
2086,162
2084,114
2087,118
2084,118
2084,118
2084,119
2084,119
2084,127
2085,114
2084,118
2084,118
2084,136
2092,118
2083,120
2084,118
2085,113
2085,140
2084,119
2086,115
2083,119
2084,118
2087,117
2086,117
2086,117
2085,117
2086,117
2087,118
2085,118
2087,117
2088,131
2085,115
2082,116
2085,118
2084,118
2086,119
2100,117
2083,119
2082,119
2085,118
2085,120
2084,119
2101,117
2086,117
2084,117
2085,118
2087,117
2088,111
2085,133
2087,117
2085,118
2085,132
2084,117
2087,114
2085,136
2092,329
2094,122
2086,119
2087,124
2138,123
2087,123
2089,121
2086,123
2088,121
2141,121
2088,121
2089,122
2100,121
2086,118
2136,124
2088,123
2087,121
2136,121
2087,138
2086,122
2137,120
2086,122
2086,120
2141,123
2089,140
2087,121
2142,124
2093,120
2087,122
2145,122
2109,119
2089,133
2092,143
2213,145
2086,124
2088,118
2090,122
2089,123
2088,120
2139,122
2092,121
2109,122
2140,119
2089,124
2104,122
2089,124
2095,124
2089,159
2088,119
2088,122
2140,137
2086,122
2088,120
2139,121
2090,122
2087,140
2089,121
2089,122
2137,121
2088,121
2092,119
2138,119
2091,121
2087,122
2148,119
2088,123
2092,122
2143,136
2089,124
2091,120
2136,456
2093,144
2086,127
2098,125
2085,127
2135,126
2086,138
2086,120
2081,121
2084,124
2086,160
2082,139
2084,120
2136,123
2086,122
2085,121
2137,125
2096,123
2086,123
2138,122
2086,122
2086,126
2135,122
2101,122
2086,123
2138,121
2086,122
2086,124
2085,121
2089,120
2136,122
2087,121
2093,144
2087,122
2086,125
2114,429
2092,133
2083,121
2083,122
2082,127
2085,123
2085,124
2146,120
2088,120
2087,122
2097,120
2083,140
2133,120
2084,123
2086,120
2136,121
2084,120
2083,119
2085,120
2083,120
2135,124
2086,119
2102,113
2134,120
2083,121
2086,118
2097,119
2084,120
2135,122
2085,123
2085,121
2138,121
2088,121
2097,120
2138,119
2085,123
2085,121
2143,396
2093,137
2084,124
2082,120
2083,119
2080,118
2096,121
2084,128
2084,115
2083,115
2084,133
2088,116
2082,118
2082,118
2082,116
2084,121
2083,118
2085,119
2081,118
2082,117
2080,116
2084,117
2096,118
2083,119
2082,118
2081,119
2083,111
2081,112
2078,127
2081,113
2082,110
2079,111
2079,111
2079,111
2078,110
2081,107
2080,110
2078,112
2079,114
2080,109
2078,111
2079,111
2079,118
2082,123
2079,105
2079,128
2081,110
2080,113
2080,111
2079,112
2081,111
2080,110
2081,127
2080,110
2079,110
2082,108
2079,113
2082,111
2080,104
2094,110
2079,111
2078,111
2080,111
2081,111
2080,108
2078,127
2080,110
2080,111
2077,111
2079,111
2080,123
2082,125
2079,111
2079,107
2079,112
2083,110
2080,112
2081,110
2081,111
2080,109
2082,113
2080,111
2082,117
2079,112
2080,104
2079,111
2080,110
2081,111
2079,106
2079,126
2080,110
2081,110
2080,110
2080,108
2080,112
2081,111
2079,103
2081,105
2080,112
2082,110
2080,104
2082,110
2080,111
2080,105
2081,111
2080,111
2081,112
2080,111
2081,111
2080,118
2080,111
2081,111
2081,109
2080,113
2080,109
2080,112
2081,108
2081,113
2080,106
2080,111
2080,108
2081,111
2081,110
2085,111
2079,110
2080,111
2080,112
2093,103
2081,110
2079,111
2079,110
2081,110
2080,113
2082,112
2081,111
2079,112
2081,113
2080,116
2079,110
2080,111
2083,111
2081,111
2082,110
2079,111
2082,110
2080,104
2080,111
2081,111
2083,111
2080,110
2079,111
2082,110
2083,109
2082,111
2081,111
2080,113
2081,111
2088,103
2080,110
2081,105
2078,110
2080,109
2080,112
2082,116
2080,112
2082,110
2079,110
2082,111
2080,111
2081,111
2081,111
2082,112
2079,111
2080,111
2083,110
2080,111
2081,108
2080,113
2080,107
2081,111
2081,114
2081,110
2080,112
2083,109
2081,105
2082,127
2079,111
2083,110
2080,112
2081,104
2082,128
2080,112
2081,110
2078,109
2083,111
2080,112
2083,113
2081,127
2082,111
2082,111
2082,110
2081,111
2090,111
2082,129
2080,104
2083,110
2082,110
2081,111
2087,127
2081,112
2081,106
2081,114
2080,111
2084,105
2080,110
2081,114
2082,113
2081,110
2081,113
2082,126
2078,110
2082,111
2080,112
2081,110
2082,111
2080,111
2094,106
2082,106
2081,113
2081,110
2081,110
2082,127
2081,111
2100,111
2082,113
2084,110
2085,112
2082,128
2079,109
2081,111
2082,112
2084,108
2080,110
2083,131
2111,116
2081,116
2131,114
2085,112
2084,111
2083,130
2083,115
2138,114
2085,113
2084,118
2133,117
2083,116
2085,133
2083,108
2083,112
2132,117
2083,115
2083,115
2086,135
2085,114
2135,115
2086,115
2084,114
2137,119
2083,114
2084,136
2083,114
2084,116
2136,120
2084,118
2146,112
2083,400
2087,128
2082,116
2082,122
2084,118
2084,114
2086,113
2133,116
2085,117
2083,116
2135,115
2087,113
2085,117
2136,109
2084,116
2086,116
2130,113
2084,116
2082,117
2131,115
2081,114
2084,108
2081,111
2083,112
2134,112
2084,111
2084,118
2133,113
2083,114
2086,115
2134,116
2084,112
2083,133
2136,140
2085,117
2087,115
2084,117
2085,116
2126,308
2080,132
2080,145
2079,115
2077,116
2080,132
2078,116
2133,148
2083,133
2081,116
2081,114
2083,122
2083,164
2081,116
2076,114
2080,115
2080,114
2134,111
2079,131
2086,115
2129,114
2079,110
2079,112
2131,112
2080,111
2096,112
2130,112
2081,116
2080,117
2079,113
2081,118
2129,116
2092,112
2080,114
2212,294
2087,120
2079,113
2078,112
2081,112
2079,125
2079,109
2079,107
2080,110
2077,110
2078,111
2095,110
2077,110
2079,110
2078,106
2078,110
2078,110
2092,116
2078,108
2078,110
2082,111
2078,111
2077,112
2079,126
2078,108
2076,102
2082,108
2078,111
2080,109
2078,110
2079,127
2078,108
2078,111
2079,105
2079,110
2081,109
2077,131
2078,114
2079,111
2078,110
2079,111
2080,109
2078,108
2079,129
2079,102
2079,107
2077,104
2079,121
2077,111
2080,109
2078,112
2080,110
2078,110
2081,109
2079,109
2079,110
2078,121
2079,110
2078,111
2080,110
2077,109
2078,111
2079,111
2078,110
2080,125
2080,109
2079,109
2080,111
2079,105
2079,110
2080,110
2095,110
2079,112
2079,110
2079,111
2080,108
2079,109
2079,107
2093,110
2078,111
2077,111
2080,111
2080,104
2080,111
2079,103
2080,109
2080,109
2082,113
2079,111
2079,111
2080,108
2080,125
2078,106
2081,111
2079,111
2080,109
2077,110
2080,109
2079,111
2081,107
2079,112
2080,110
2080,127
2081,110
2086,115
2081,102
2078,111
2081,109
2077,112
2087,113
2079,112
2079,109
2080,110
2081,112
2080,111
2082,107
2080,110
2081,109
2080,110
2094,110
2087,109
2080,111
2080,109
2080,110
2081,109
2080,126
2077,104
2080,110
2079,111
2081,108
2079,111
2080,111
2080,128
2079,111
2079,107
2081,108
2082,109
2081,110
2079,111
2080,111
2082,111
2078,111
2080,124
2082,110
2080,109
2080,111
2080,108
2079,112
2081,110
2081,113
2079,113
2081,108
2080,111
2082,110
2080,111
2080,111
2082,109
2087,105
2080,106
2081,110
2081,125
2081,103
2080,111
2080,111
2081,105
2082,110
2083,126
2077,104
2080,107
2081,109
2079,110
2081,111
2080,127
2081,110
2080,105
2080,106
2080,111
2080,109
2081,103
2081,126
2081,111
2079,110
2080,110
2081,101
2081,110
2081,127
2083,109
2081,103
2080,108
2084,110
2081,128
2080,105
2081,109
2081,109
2079,105
2079,110
2079,110
2079,127
2083,109
2083,110
2081,107
2081,110
2081,112
2081,123
2077,109
2079,108
1589251167069,389
2082,122
2081,117
2083,124
