2091,504,1468
2094,529,1595
2096,530,1403
2096,527,1503
2153,516,1517
2099,507,1610
2103,539,1617
2119,524,1352
2100,511,1425
2100,513,1466
2099,493,1573
2103,516,1992
2102,511,1537
2103,509,1518
2163,501,1424
2104,508,2780
2109,796,1388
2111,511,1398
2102,499,1582
2104,498,1563
2104,518,2011
2103,510,1382
2103,525,1545
2162,507,1405
2104,514,1455
2106,526,1999
2106,520,1537
2095,503,1324
2094,498,1327
2095,496,1372
2094,497,1360
2095,501,1408
2100,506,1396
2096,505,1930
2149,509,1518
2097,511,1802
2098,507,1414
2099,520,2759
2108,523,1328
2098,500,1387
2099,492,1361
2099,499,1357
2105,490,2465
2102,507,1521
2095,503,1451
2148,502,1421
2094,505,1497
2095,512,1767
2096,751,1350
2103,515,1314
2093,497,1672
2092,493,1620
2091,491,1435
2094,512,1421
2094,508,1448
2145,495,1828
2094,501,1553
2093,515,1436
2158,741,1459
2104,516,1426
2093,488,1502
2093,488,1535
2094,490,2420
2094,514,1425
2101,517,1438
