2092,276,643
2093,275,760
2086,299,733
2087,280,1047
2086,311,738
2090,291,782
2142,287,761
2089,288,848
2087,351,781
2089,297,749
2089,291,764
2089,299,808
2090,303,827
2102,321,788
2094,309,1749
2096,307,721
2089,282,903
2096,286,734
2090,280,730
2091,283,806
2089,291,781
2141,286,772
2093,294,982
2147,292,894
2092,294,775
2144,288,1353
2093,282,901
2104,287,777
2165,304,744
2092,317,1120
2098,313,760
2090,286,742
2087,288,1044
2090,283,744
2092,280,827
2089,277,774
2090,293,1166
2146,290,879
2091,300,784
2138,297,796
2089,284,752
2140,287,759
2089,283,1388
2089,290,813
2091,326,815
2090,291,1019
2098,304,735
2088,284,972
2089,285,839
2091,287,899
2091,282,675
2090,284,672
2088,292,786
2087,287,756
2088,277,763
2090,291,819
2089,338,779
2088,283,806
2089,287,1757
2091,294,771
2091,288,818
2148,288,821
2090,283,1701
2087,287,1833
2114,496,809
2096,311,743
2087,284,782
2089,284,699
2088,284,841
2104,279,684
2092,278,727
2089,287,818
2143,288,744
2089,300,783
2089,348,756
2090,290,800
2091,286,766
2091,285,776
2144,291,813
2090,290,840
2090,540,926
2099,305,755
2090,278,1422
2090,281,733
2087,281,753
2088,291,773
2087,281,744
2092,290,826
2089,334,749
2090,292,747
2091,289,760
2092,283,1282
2088,286,744
2139,302,772
2087,298,735
2144,289,797
2093,289,960
2116,305,1160
2092,282,845
2088,278,724
2086,278,2211
2088,280,890
2088,292,1607
2088,291,761
2089,313,779
2089,291,818
2089,341,772
2092,301,968
2089,292,784
2088,283,761
2088,287,806
2117,557,736
2092,303,731
2106,281,1103
2090,282,723
2085,282,710
2089,279,763
2088,277,792
2087,290,846
2141,286,768
2087,286,801
2087,341,911
2088,283,1746
2089,284,1743
2141,298,789
2086,296,770
2147,294,1052
2095,304,729
2086,277,925
2090,285,938
2090,282,800
2086,275,715
2087,285,811
2089,293,760
2088,348,1451
2091,286,880
2090,298,1798
2148,302,768
2091,299,799
2145,284,1593
2089,295,759
2092,485,1736
2096,308,711
2088,286,748
2087,280,1752
2087,281,776
2086,284,728
2093,279,798
2092,290,760
2142,281,801
2086,280,804
2141,287,820
2087,287,771
2143,293,796
2087,288,808
2088,346,1541
2097,294,825
2087,560,764
2095,294,832
2085,278,669
2090,279,692
2086,284,1379
2090,295,777
2144,300,811
2091,303,811
2140,290,757
2091,290,825
2140,287,767
2088,308,885
2146,290,791
2086,286,851
2118,551,715
2097,294,737
2088,280,712
2091,280,736
2091,281,734
2088,287,770
2091,280,2269
2087,311,762
2091,288,933
2140,287,748
2090,290,1100
2092,284,755
2091,285,887
2090,287,797
2142,302,773
2091,301,794
2101,311,757
2088,289,707
2088,279,713
2089,282,749
2088,283,735
2090,280,762
2090,291,777
2089,292,849
2088,289,754
2088,290,1230
2141,281,814
2097,285,748
2142,281,1217
2092,306,840
2090,297,2382
2096,309,727
2094,294,775
2086,285,1285
2087,283,717
2088,278,849
2088,282,971
2087,288,903
2093,286,798
2143,288,780
2088,290,827
2149,293,748
2089,292,839
2150,289,743
2090,284,1330
2091,299,759
2087,318,804
2088,296,1026
2096,308,807
2088,286,824
2087,290,1539
2089,283,715
2089,279,795
2095,282,824
2091,293,806
2140,286,797
2090,300,768
2089,339,748
2090,302,849
2087,304,751
2088,289,762
2088,292,818
2092,292,791
2088,555,765
2094,296,724
2089,284,759
2086,286,1500
2091,280,786
2093,283,779
2090,301,800
2136,296,2023
2089,285,902
2089,290,800
2146,299,815
2088,294,931
2140,287,790
2087,293,1788
2091,293,801
2126,551,738
2094,295,763
2087,283,781
2088,284,718
2086,283,772
2087,292,748
2143,302,817
2087,300,873
2146,288,746
2088,293,1435
2087,285,789
2093,310,879
2089,290,821
2087,291,765
2092,288,1027
2095,303,747
2087,286,738
2089,296,761
2086,283,816
2089,281,748
2088,280,1313
2091,294,751
2103,291,796
2089,286,824
2089,289,798
2091,300,824
2087,297,791
2138,289,788
2087,287,756
2146,289,843
2088,291,978
2100,314,1431
2089,286,1513
2086,282,711
2094,294,779
2090,278,733
2087,284,754
2088,284,1164
2144,290,824
2092,290,766
2146,286,812
2091,290,814
2090,311,865
2089,295,882
2090,287,821
2090,311,969
2089,288,905
2207,461,786
2093,287,765
2088,285,713
2088,284,828
2091,294,696
2090,283,1910
2087,280,842
2091,304,839
2143,285,897
2106,286,790
2147,284,891
2087,288,1843
2088,301,890
2138,294,775
2088,285,803
2140,294,1003
2097,315,778
2091,288,750
2086,275,873
2086,282,741
2089,284,777
2089,284,713
2087,300,1532
2092,298,861
2089,287,795
2087,324,821
2090,293,775
2136,283,784
2090,288,901
2088,341,781
2104,289,835
2150,293,1165
2099,303,729
2087,286,914
2089,282,734
2090,278,719
2089,280,804
2090,284,705
2089,287,737
2086,287,757
2089,291,796
2191,289,794
2089,290,815
2088,336,809
2089,286,1900
2086,294,958
2150,315,863
2090,283,781
2087,287,823
2085,496,801
2097,303,776
2087,286,713
2086,281,716
2088,285,721
2087,288,755
2090,288,1656
2092,300,820
2096,291,761
2143,287,820
2091,284,744
2147,292,882
2090,285,815
2140,285,797
2091,311,827
2137,298,994
2098,318,1540
2088,285,806
2085,286,723
2095,279,738
2089,277,1263
2090,296,1061
2092,289,738
2090,312,812
2092,303,794
2141,300,777
2091,287,886
2144,292,781
2089,292,865
2146,289,1017
2098,317,804
2088,287,739
2089,288,733
2086,279,865
2091,282,798
2086,278,802
2091,292,1996
2089,288,740
2145,294,1019
2098,307,782
2089,294,763
2092,285,805
2107,287,884
2155,283,831
2092,301,2210
